Name,Start Date (UTC),Start Time (UTC),End Date (UTC),End Time (UTC),BodyWeight,Exercise,Equipment,Reps,Weight,Time,Distance,Status,Categories
"Greyskulls A","1/27/2018","5:45:45 AM","1/27/2018","6:27:20 AM","68,04","Barbell Row","Barbell","5","9,07","","","NotStarted","Upper Back,Lower Back,Abdominals,Hips,Arms"
"Greyskulls A","1/27/2018","5:45:45 AM","1/27/2018","6:27:20 AM","68,04","Barbell Row","Barbell","5","10,21","","","NotStarted","Upper Back,Lower Back,Abdominals,Hips,Arms"
"Greyskulls A","1/27/2018","5:45:45 AM","1/27/2018","6:27:20 AM","68,04","Barbell Row","Barbell","5","11,34","","","NotStarted","Upper Back,Lower Back,Abdominals,Hips,Arms"
"Greyskulls A","1/27/2018","5:45:45 AM","1/27/2018","6:27:20 AM","68,04","Bench Press","Machine","5","6,8","","","NotStarted","Pectorals,Triceps"
"Greyskulls A","1/27/2018","5:45:45 AM","1/27/2018","6:27:20 AM","68,04","Bench Press","Machine","5","7,94","","","NotStarted","Pectorals,Triceps"
"Greyskulls A","1/27/2018","5:45:45 AM","1/27/2018","6:27:20 AM","68,04","Bench Press","Machine","5","9,07","","","NotStarted","Pectorals,Triceps"
"Greyskulls A","1/27/2018","5:45:45 AM","1/27/2018","6:27:20 AM","68,04","Squat","Barbell","5","25,0","","","Done","Glutes,Quads,Abdominals,Hips"
"Greyskulls A","1/27/2018","5:45:45 AM","1/27/2018","6:27:20 AM","68,04","Squat","Barbell","5","25,0","","","Done","Glutes,Quads,Abdominals,Hips"
"Greyskulls A","1/27/2018","5:45:45 AM","1/27/2018","6:27:20 AM","68,04","Squat","Barbell","9","25,0","","","Done","Glutes,Quads,Abdominals,Hips"
"Greyskulls A","1/27/2018","5:45:45 AM","1/27/2018","6:27:20 AM","68,04","Deadlift","Barbell","7","13,61","","","NotStarted","Glutes,Quads,Hamstring,Hips,Lower Back"
